,companyName,ranking,craftWebsite,companyWebsite,tags,HQ,employeeNumber,description,dateString
111,Hewlett Packard Enterprise,109,https://craft.co/hewlett-packard-enterprise,hpe.com,"['Financial Services', 'Technology', 'connectivity', 'data storage', 'incubator', 'it services', 'leasing', 'routers & switches', 'wireless']","Sunnyvale, US","61,600","Hewlett Packard Enterprise has 61,600 employees across 131 locations and $29.14 B in annual revenue in FY 2019. See insights on Hewlett Packard Enterprise including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
112,Arrow Electronics,110,https://craft.co/arrow-electronics,arrow.com,"['Technology', 'connectivity', 'distribution', 'electronic components', 'electronics', 'it services', 'semiconductors', 'supply chain management']","Centennial, US","19,300","Arrow Electronics has 19,300 employees across 256 locations and $28.92 B in annual revenue in FY 2019. See insights on Arrow Electronics including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
113,ViacomCBS,111,https://craft.co/viacomcbs,viacomcbs.com,"['Media & Entertainment', 'books', 'media', 'publishing', 'streaming', 'television']","New York, US","23,990","ViacomCBS has 23,990 employees across 37 locations and $27.81 B in annual revenue in FY 2019. See insights on ViacomCBS including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
114,Dollar General,112,https://craft.co/dollar-general,dollargeneral.com,"['Retail', 'clothing', 'consumer goods', 'consumer products & services', 'health & beauty']","Goodlettsville, US","143,000","Dollar General has 143,000 employees at their 1 location and $23.47 B in annual revenue in FY 2018. See insights on Dollar General including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
115,U.S. Bancorp,113,https://craft.co/funding-u,funding-u.com,"['Education', 'Financial Services', 'Technology', 'alternative lending', 'fintech']","Atlanta, US",9,"Funding U has 9 employees at their 1 location and $9.30 m in total funding,. See insights on Funding U including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
116,Starbucks,114,https://craft.co/starbucks,starbucks.com,"['Food & Beverage', 'Retail', 'consumer goods', 'hospitality', 'restaurant']","Seattle, US","349,000","Starbucks has 349,000 employees across 21 locations and $26.51 B in annual revenue in FY 2019. See insights on Starbucks including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
117,Bristol-Myers Squibb,115,https://craft.co/myers-building-products,myersbps.com,[],"Buffalo Grove, IL, US",,"See insights on MYERS including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
118,US Foods Holding,116,https://craft.co/us-foods,usfoods.com,"['Food & Beverage', 'Retail', 'distribution', 'holding company', 'processed food']","Rosemont, US","28,000","US Foods has 28,000 employees across 108 locations and $22.92 B in annual revenue in FY 2016. See insights on US Foods including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
119,Mondelez International,117,https://craft.co/mondelez-international,mondelezinternational.com,[],"East Hanover, NJ, US","80,000","Mondelez International has 5 employees across 56 locations and $25.87 b in annual revenue in FY 2019. See insights on Mondelez International including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
120,Paccar,118,https://craft.co/paccar,paccar.com,"['Automotive & Transportation', 'Manufacturing & Industrial', 'auto parts', 'engines', 'insurance', 'leasing', 'vehicles']","Bellevue, US","27,000","PACCAR has 27,000 employees across 9 locations and $25.60 B in annual revenue in FY 2019. See insights on PACCAR including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
121,Thermo Fisher Scientific,119,https://craft.co/thermo-fisher-scientific,thermofisher.com,"['Manufacturing & Industrial', 'biotech', 'chemicals', 'life sciences', 'medical diagnostics', 'medtech']","Waltham, MA, US","75,000","Thermo Fisher Scientific has 75,000 employees across 439 locations and $25.54 B in annual revenue in FY 2019. See insights on Thermo Fisher Scientific including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
122,Macy's,120,https://craft.co/macy-s,macys.com,"['Retail', 'accessories', 'clothing', 'cosmetics', 'ecommerce', 'fashion']","New York, US","123,000","Macy's has 123,000 employees across 8 locations and $24.56 B in annual revenue in FY 2019. See insights on Macy's including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
123,Jabil,121,https://craft.co/jabil,jabil.com,"['Manufacturing & Industrial', 'electronic components', 'electronics', 'supply chain management']","St. Petersburg, US","200,000","Jabil has 200,000 employees across 91 locations and $27.27 B in annual revenue in FY 2020. See insights on Jabil including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
124,Kraft Heinz,122,https://craft.co/kraftheinz,kraftheinzcompany.com,"['Food & Beverage', 'beverages', 'nutrition', 'processed food']","Chicago, US","37,000","Kraft Heinz has 37,000 employees across 65 locations and $24.98 B in annual revenue in FY 2019. See insights on Kraft Heinz including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
125,Duke Energy,123,https://craft.co/duke-energy,duke-energy.com,"['Energy & Utilities', 'electricity', 'energy services', 'natural gas', 'renewables', 'wind']","Charlotte, US","28,793","Duke Energy has 28,793 employees across 5 locations and $24.35 B in annual revenue in FY 2019. See insights on Duke Energy including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
126,Tesla,124,https://craft.co/tesla,tesla.com,"['Automotive & Transportation', 'Manufacturing & Industrial', 'car services', 'electric vehicles', 'energy storage', 'self driving', 'solar', 'sustainability']","Palo Alto, CA, US","48,016","Tesla has 48,016 employees across 12 locations and $24.58 B in annual revenue in FY 2019. See insights on Tesla including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
127,PBF Energy,125,https://craft.co/pbf-energy,pbfenergy.com,"['Energy & Utilities', 'Manufacturing & Industrial', 'oil', 'petroleum', 'refinery']","Parsippany-Troy Hills, US","3,442","PBF Energy has 3,442 employees across 7 locations and $24.51 B in annual revenue in FY 2019. See insights on PBF Energy including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
128,Qualcomm,126,https://craft.co/qualcomm,qualcomm.com,"['Manufacturing & Industrial', 'Technology', 'communication equipment', 'electronic components', 'electronics', 'semiconductors', 'wireless']","San Diego, CA, US","41,000","Qualcomm has 41,000 employees across 130 locations and $23.53 B in annual revenue in FY 2020. See insights on Qualcomm including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
129,NGL Energy Partners,127,https://craft.co/ngl-energy-partners,nglenergypartners.com,"['Energy & Utilities', 'logistics', 'oil & gas', 'renewables', 'water']","Tulsa, US","1,400","NGL Energy Partners has 1,400 employees across 3 locations and $7.58 B in annual revenue in FY 2020. See insights on NGL Energy Partners including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
130,CBRE Group,128,https://craft.co/cbre,cbre.com,"['Real Estate & Construction', 'commercial real estate', 'facilities management', 'investment management', 'property finance', 'property management']","Los Angeles, US","100,000","CBRE Group has 100,000 employees across 341 locations and $23.89 B in annual revenue in FY 2019. See insights on CBRE Group including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
131,Baker Hughes,129,https://craft.co/baker-hughes,bakerhughes.com,"['Energy & Utilities', 'drilling', 'energy infrastructure', 'energy services', 'exploration & development', 'machinery', 'oil & gas', 'pipelines']","Houston, US","68,000","Baker Hughes has 68,000 employees across 111 locations and $23.84 B in annual revenue in FY 2019. See insights on Baker Hughes including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
132,Synnex,130,https://craft.co/synnex-corporation,synnexcorp.com,"['Technology', 'it services', 'outsourcing', 'supply chain management']","Fremont, CA, US","235,000","Synnex has 235,000 employees across 21 locations and $23.76 B in annual revenue in FY 2019. See insights on Synnex including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
133,Dollar Tree,131,https://craft.co/dollar-tree,dollartree.com,"['Retail', 'consumer goods', 'consumer products & services', 'ecommerce', 'supermarkets']","Chesapeake, US","56,900","Dollar Tree has 56,900 employees at their 1 location and $22.25 B in annual revenue in FY 2017. See insights on Dollar Tree including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
134,Cummins,132,https://craft.co/cummins,cummins.com,"['Manufacturing & Industrial', 'batteries', 'crankshaft', 'diesel engines', 'distribution', 'electronic components', 'engines', 'generators']","Columbus, US","61,615","Cummins has 61,615 employees across 152 locations and $23.57 B in annual revenue in FY 2019. See insights on Cummins including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
135,United Natural Foods,133,https://craft.co/bridgetown-natural-foods,bridgetownnaturalfoods.com,"['Food & Beverage', 'Manufacturing & Industrial', 'nutrition']","Portland, US",88,"Bridgetown Natural Foods has 88 employees at their 1 location. See insights on Bridgetown Natural Foods including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
136,Micron Technology,134,https://craft.co/micron-technology,micron.com,"['Manufacturing & Industrial', 'data storage', 'electronic components', 'semiconductors']","Boise, US","40,000","Micron Technology has 40,000 employees across 43 locations and $21.44 B in annual revenue in FY 2020. See insights on Micron Technology including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
137,Amgen,135,https://craft.co/amgen,amgen.com,"['Healthcare', 'biotech', 'drug development', 'genetics', 'oncology', 'pharma']","Thousand Oaks, US","23,400","Amgen has 23,400 employees across 65 locations and $23.36 B in annual revenue in FY 2019. See insights on Amgen including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
138,Penske Automotive Group,136,https://craft.co/penske-automotive-group,penskeautomotive.com,"['Automotive & Transportation', 'Retail', 'auto parts', 'distribution', 'used cars']","Bloomfield Hills, US","27,000","Penske Automotive Group has 27,000 employees at their 1 location and $23.20 B in annual revenue in FY 2019. See insights on Penske Automotive Group including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
139,Visa,137,https://craft.co/visa,visa.com,[],"Foster City, CA, US","19,500","Visa has 3 employees across 55 locations and $22.98 b in annual revenue in FY 2019. See insights on Visa including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
140,Broadcom,138,https://craft.co/broadcom,broadcom.com,"['Manufacturing & Industrial', 'connectivity', 'electronic components', 'enterprise infrastructure', 'semiconductors']","San Jose, CA, US","19,000","Broadcom has 19,000 employees across 81 locations and $22.60 B in annual revenue in FY 2019. See insights on Broadcom including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
141,Nucor,139,https://craft.co/nucor,nucor.com,"['Manufacturing & Industrial', 'building materials', 'metal products', 'recycling']","Charlotte, US","26,800","Nucor has 26,800 employees across 49 locations and $22.59 B in annual revenue in FY 2019. See insights on Nucor including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
142,Gilead Sciences,140,https://craft.co/gilead-sciences,gilead.com,"['Manufacturing & Industrial', 'biotech', 'clinical research', 'drug development', 'pharma']","Foster City, US","11,800","Gilead Sciences has 11,800 employees across 45 locations and $22.45 B in annual revenue in FY 2019. See insights on Gilead Sciences including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
143,Southwest Airlines,141,https://craft.co/southwest-airlines,southwest.com,"['Travel & Leisure', 'airlines', 'aviation']","Dallas, US","60,800","Southwest Airlines has 60,800 employees at their 1 location and $22.43 B in annual revenue in FY 2019. See insights on Southwest Airlines including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
144,Halliburton,142,https://craft.co/halliburton,halliburton.com,"['Energy & Utilities', 'chemicals', 'drilling', 'energy services', 'heavy equipment', 'project management']","Houston, US","50,000","Halliburton has 50,000 employees across 65 locations and $22.41 B in annual revenue in FY 2019. See insights on Halliburton including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
145,CenturyLink,143,https://craft.co/centurylink-cloud,ctl.io,[],"Monroe, US",,"See insights on CenturyLink Cloud including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
146,International Paper,144,https://craft.co/international-paper,internationalpaper.com,"['Manufacturing & Industrial', 'packaging', 'paper and packaging', 'recycling']","Memphis, US","51,000","International Paper has 51,000 employees across 324 locations and $22.38 B in annual revenue in FY 2019. See insights on International Paper including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
147,Eli Lilly,145,https://craft.co/eli-lilly,lilly.com,"['Healthcare', 'diabetes', 'drug development', 'mental health', 'oncology', 'pharma']","Indianapolis, US","33,625","Eli Lilly has 33,625 employees across 45 locations and $22.32 B in annual revenue in FY 2019. See insights on Eli Lilly including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
148,Aflac,146,https://craft.co/aflac,aflac.com,"['Financial Services', 'insurance', 'life insurance']","Columbus, US","11,729","Aflac has 11,729 employees across 2 locations and $22.31 B in annual revenue in FY 2019. See insights on Aflac including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
149,Lennar,147,https://craft.co/lennar,lennar.com,"['Real Estate & Construction', 'commercial real estate', 'home building', 'real estate agency', 'residential real estate']","Miami, US","10,106","Lennar has 10,106 employees across 3 locations and $22.26 B in annual revenue in FY 2019. See insights on Lennar including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
150,Occidental Petroleum,148,https://craft.co/occidental-petroleum-corporation,oxy.com,"['Energy & Utilities', 'chemicals', 'exploration & development', 'natural gas', 'oil & gas', 'petroleum']","Houston, US","11,000","Occidental Petroleum has 11,000 employees across 16 locations and $20.39 B in annual revenue in FY 2019. See insights on Occidental Petroleum including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
151,Union Pacific,149,https://craft.co/union-pacific,up.com,"['Manufacturing & Industrial', 'Travel & Leisure', 'logistics', 'rail', 'transportation']","Omaha, US","37,483","Union Pacific has 37,483 employees across 47 locations and $21.71 B in annual revenue in FY 2019. See insights on Union Pacific including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
152,Rite Aid,150,https://craft.co/rite-aid,riteaid.com,"['Healthcare', 'Retail', 'ecommerce', 'fitness & wellness', 'pharmacy', 'supplements']","Camp Hill, US","27,840","Rite Aid has 27,840 employees across 4 locations and $21.93 B in annual revenue in FY 2020. See insights on Rite Aid including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
153,PNC Financial Services Group,151,https://craft.co/the-pnc-financial-services-group,pnc.com,"['Financial Services', 'banks', 'brokerage', 'financial management', 'insurance', 'investment management', 'mortgages']","Pittsburgh, US","50,017","The PNC Financial Services Group has 50,017 employees across 77 locations and $17.83 B in annual revenue in FY 2019. See insights on The PNC Financial Services Group including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
154,DuPont,152,https://craft.co/dupont,dupont.com,"['Food & Beverage', 'Manufacturing & Industrial', 'agritech', 'biotech', 'building materials', 'chemicals', 'electronics', 'holding company', 'textiles']","Wilmington, US","35,000","DuPont has 35,000 employees across 179 locations and $21.51 B in annual revenue in FY 2019. See insights on DuPont including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
155,Southern,153,https://craft.co/control-southern,controlsouthern.com,"['Business Products & Services', 'engineering', 'infrastructure', 'machinery']","Suwanee, US",164,"Control Southern has 164 employees across 7 locations. See insights on Control Southern including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
156,AutoNation,154,https://craft.co/autonation,autonation.com,"['Automotive & Transportation', 'Retail', 'auto parts', 'auto repairs', 'car insurance', 'car services', 'used cars']","Fort Lauderdale, US","25,000","AutoNation has 25,000 employees at their 1 location and $21.34 B in annual revenue in FY 2019. See insights on AutoNation including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
157,DXC Technology,155,https://craft.co/dxc-technology,dxc.technology,"['Technology', 'automation', 'it consulting', 'it services', 'outsourcing']","Tysons, US","138,000","DXC Technology has 138,000 employees across 8 locations and $19.58 B in annual revenue in FY 2020. See insights on DXC Technology including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
158,McDonald's,156,https://craft.co/mcdonald-s,mcdonalds.com,"['Food & Beverage', 'beverages', 'hospitality', 'restaurant']","Chicago, US","205,000","McDonald's has 205,000 employees across 63 locations and $21.08 B in annual revenue in FY 2019. See insights on McDonald's including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
159,Marriott International,157,https://craft.co/marriot-international,marriott.com,"['Travel & Leisure', 'hospitality', 'hotels', 'residential real estate', 'resorts', 'vacation rental']","Bethesda, US","174,000","Marriott International has 174,000 employees across 2 locations and $20.97 B in annual revenue in FY 2019. See insights on Marriott International including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
160,ManpowerGroup,158,https://craft.co/manpowergroup,manpowergroup.com,"['Business Products & Services', 'Human Resources & Recruiting', 'outsourcing', 'professional education', 'recruiting', 'skill assessment']","Milwaukee, US","28,000","ManpowerGroup has 28,000 employees across 80 locations and $20.86 B in annual revenue in FY 2019. See insights on ManpowerGroup including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
161,Bank of New York Mellon,159,https://craft.co/bny-mellon,bnymellon.com,"['Financial Services', 'financial management', 'investment banks', 'investment management']","New York, US","48,400","Bank of New York Mellon Corporation has 48,400 employees across 128 locations and $16.46 B in annual revenue in FY 2019. See insights on Bank of New York Mellon Corporation including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
162,Hartford Financial Services Group,160,https://craft.co/hartford-funds,hartfordfunds.com,"['Financial Services', 'fintech', 'investment management']","Hartford, CT, US",357,"Hartford Funds has 357 employees across 5 locations. See insights on Hartford Funds including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
163,Danaher,161,https://craft.co/danaher,danaher.com,"['Manufacturing & Industrial', 'chemicals', 'enterprise software', 'healthtech', 'life sciences', 'machinery', 'medical devices', 'medical diagnostics']","Washington, US","60,000","Danaher has 60,000 employees across 5 locations and $17.91 B in annual revenue in FY 2019. See insights on Danaher including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
164,Whirlpool,162,https://craft.co/whirlpool,whirlpoolcorp.com,"['Manufacturing & Industrial', 'appliances', 'consumer electronics', 'consumer goods']","Benton Harbor, US","77,000","Whirlpool has 77,000 employees across 52 locations and $20.42 B in annual revenue in FY 2019. See insights on Whirlpool including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
165,AECOM,163,https://craft.co/aecom,aecom.com,[],"Los Angeles, CA, US","86,000","AECOM has 5 employees across 94 locations and $20.17 b in annual revenue in FY 2019. See insights on AECOM including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
166,Netflix,164,https://craft.co/netflix,netflix.com,"['Media & Entertainment', 'media', 'movies', 'streaming', 'video']","Los Gatos, US","8,600","Netflix has 8,600 employees across 18 locations and $20.16 B in annual revenue in FY 2019. See insights on Netflix including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
167,Kohl's,165,https://craft.co/kohls,kohls.com,"['Retail', 'accessories', 'clothing', 'consumer goods', 'department stores', 'ecommerce', 'home improvement']","Menomonee Falls, US","37,000","Kohl's has 37,000 employees across 2 locations and $19.97 B in annual revenue in FY 2019. See insights on Kohl's including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
168,Lear,166,https://craft.co/lear-corporation,lear.com,"['Automotive & Transportation', 'auto parts', 'electronic components', 'engineering']","Southfield, US","164,100","Lear Corporation has 164,100 employees across 189 locations and $19.81 B in annual revenue in FY 2019. See insights on Lear Corporation including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
169,Altria Group,167,https://craft.co/altria-group,altria.com,"['Manufacturing & Industrial', 'Retail', 'consumer goods', 'holding company', 'tobacco', 'wine']","Richmond, US","7,300","Altria has 7,300 employees across 3 locations and $25.11 B in annual revenue in FY 2019. See insights on Altria including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
170,Performance Food Group,168,https://craft.co/performance-food-group,pfgc.com,"['Food & Beverage', 'Retail', 'beverages', 'distribution']","Richmond, US","20,000","Performance Food Group has 20,000 employees across 56 locations and $25.09 B in annual revenue in FY 2020. See insights on Performance Food Group including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
171,Avnet,169,https://craft.co/avnet,avnet.com,"['Technology', 'connectivity', 'distribution', 'electronic components', 'electronics', 'semiconductors', 'supply chain']","Phoenix, US","14,600","Avnet has 14,600 employees across 47 locations and $17.63 B in annual revenue in FY 2020. See insights on Avnet including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
172,Synchrony Financial,170,https://craft.co/synchrony-financial,synchrony.com,"['Financial Services', 'financial management', 'fintech', 'payments']","Stamford, US","16,500","Synchrony Financial has 16,500 employees across 12 locations and $19.46 B in annual revenue in FY 2019. See insights on Synchrony Financial including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
173,Genuine Parts,171,https://craft.co/genuine-parts-company,genpt.com,"['Retail', 'auto parts', 'distribution', 'electronic components', 'engines', 'mechanical components']","Marietta, US","55,000","Genuine Parts Company has 55,000 employees at their 1 location and $19.39 B in annual revenue in FY 2019. See insights on Genuine Parts Company including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
174,NextEra Energy,172,https://craft.co/nextera-energy,nexteraenergy.com,"['Energy & Utilities', 'distribution', 'electricity', 'energy infrastructure', 'energy services', 'renewables']","North Palm Beach, US","8,900","NextEra Energy has 8,900 employees across 4 locations and $17.50 B in annual revenue in FY 2019. See insights on NextEra Energy including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
175,CarMax,173,https://craft.co/carmax,carmax.com,"['Automotive & Transportation', 'Financial Services', 'Retail', 'auto loans', 'insurance', 'used cars']","Richmond, US","22,272","CarMax has 22,272 employees at their 1 location and $20.32 B in annual revenue in FY 2020. See insights on CarMax including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
176,Tenet Healthcare,174,https://craft.co/tenet-healthcare,tenethealth.com,"['Healthcare', 'clinics', 'hospitals', 'therapy']","Dallas, US","88,608","Tenet Healthcare has 88,608 employees at their 1 location and $18.48 B in annual revenue in FY 2019. See insights on Tenet Healthcare including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
177,Kimberly-Clark,175,https://craft.co/kimberly,kimberlymachines.com,"['Retail', 'auto parts', 'machinery']","Garden Grove, CA, US",9,"Kimberly has 9 employees at their 1 location. See insights on Kimberly including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
178,Emerson Electric,176,https://craft.co/emerson,emerson.com,"['Manufacturing & Industrial', 'electronic components', 'engineering', 'hvac', 'lighting']","St. Louis, US","83,500","Emerson has 83,500 employees across 82 locations and $16.79 B in annual revenue in FY 2020. See insights on Emerson including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
179,WestRock,177,https://craft.co/westrock-coffee-company,westrockcoffee.com,"['Food & Beverage', 'accessories', 'beverages', 'consumer products & services']","North Little Rock, AR, US",82,"Westrock has 82 employees at their 1 location. See insights on Westrock including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
180,CDW,178,https://craft.co/cdw,cdw.com,"['Technology', 'appliances', 'cloud', 'data storage', 'electronics', 'enterprise software', 'security']","Lincolnshire, US","9,900","CDW has 9,900 employees across 31 locations and $18.03 B in annual revenue in FY 2019. See insights on CDW including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
181,Jones Lang LaSalle,179,https://craft.co/lang-company,langcompany.com,"['Technology', 'enterprise software', 'printing']","Louisville, US",63,"Lang Company has 63 employees across 4 locations. See insights on Lang Company including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
182,Sherwin-Williams,180,https://craft.co/sherwin,sherwininc.com,"['Manufacturing & Industrial', 'Retail', 'chemicals', 'distribution', 'ecommerce']","South Gate, US",39,"Sherwin has 39 employees at their 1 location. See insights on Sherwin including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
183,Fluor,181,https://craft.co/fluor,fluor.com,"['Real Estate & Construction', 'engineering', 'holding company', 'procurement', 'project management', 'waste management']","Irving, US","50,182","Fluor has 50,182 employees across 56 locations and $19.17 B in annual revenue in FY 2018. See insights on Fluor including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
184,PayPal Holdings,182,https://craft.co/paypal,paypal.com,"['Financial Services', 'Technology', 'ecommerce', 'fintech', 'money transfer', 'payments', 'platform']","San Jose, US","23,200","PayPal has 23,200 employees across 48 locations and $17.77 B in annual revenue in FY 2019. See insights on PayPal including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
185,D.R. Horton,183,https://craft.co/r-d-fasteners-inc,rdfast.com,"['Manufacturing & Industrial', 'mechanical components', 'metal products']","Rancho Cucamonga, CA, US",,"See insights on R & D Fasteners including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
186,HollyFrontier,184,https://craft.co/hollyfrontier-corporation,hollyfrontier.com,"['Energy & Utilities', 'Manufacturing & Industrial', 'oil & gas', 'petroleum', 'refinery']","Dallas, US","4,074","HollyFrontier has 4,074 employees across 11 locations and $17.49 B in annual revenue in FY 2019. See insights on HollyFrontier including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
187,Tenneco,185,https://craft.co/tenneco,tenneco.com,"['Automotive & Transportation', 'Manufacturing & Industrial', 'auto parts', 'distribution']","Lake Forest, US","78,000","Tenneco has 78,000 employees across 6 locations and $17.45 B in annual revenue in FY 2019. See insights on Tenneco including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
188,EOG Resources,186,https://craft.co/eog-resources,eogresources.com,"['Energy & Utilities', 'Manufacturing & Industrial', 'drilling', 'exploration & development', 'natural gas', 'oil & gas']","Houston, US","2,900","EOG Resources has 2,900 employees across 10 locations and $17.38 B in annual revenue in FY 2019. See insights on EOG Resources including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
189,Becton Dickinson,187,https://craft.co/becton-dickinson,bd.com,"['Healthcare', 'Manufacturing & Industrial', 'life sciences', 'medical devices', 'medical diagnostics', 'medtech', 'pharma', 'surgical solutions']","Franklin Lakes, US","70,093","Becton Dickinson has 70,093 employees across 88 locations and $17.29 B in annual revenue in FY 2019. See insights on Becton Dickinson including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
190,Lincoln National,188,https://craft.co/lincoln-foodservice-products,lincolnfp.com,[],"Fort Wayne, IN, US",,"See insights on Lincoln including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
191,PG&E,189,https://craft.co/pg-lifelink,pglifelink.com,[],"Erlanger, US",,"See insights on PG LifeLink including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
192,salesforce.com,190,https://craft.co/salesforce,salesforce.com,"['Technology', 'cloud', 'cloud platforms(PaaS)', 'cloud services(SaaS)', 'crm', 'enterprise software', 'sales automation']","San Francisco, US","49,000","Salesforce has 49,000 employees across 61 locations and $17.10 B in annual revenue in FY 2020. See insights on Salesforce including office locations, competitors, revenue, financials, executives, subsidiaries and more at Craft.",02/12/2020
